1,Age,Gender,Education,Country,Ethnicity,NScore,EScore,OScore,AScore,CScore,Alcohol,Amphet,Amyl,Benzos,Caff,Cannabis,Choc,Coke,Crack,Ecstasy,Heroin,Ketamine,LSD,Meth,Mushrooms,Nicotine
2,25-34,Male,E9,UK,White,29,52,55,48,41,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1
3,35-44,Male,E6,UK,White,31,45,40,32,34,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
4,18-24,Female,E8,UK,White,34,34,46,47,46,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
5,35-44,Female,E9,UK,White,43,28,43,41,50,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
6,65+,Female,E4,Canada,White,29,38,35,55,52,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
7,45-54,Male,E8,USA,White,31,32,43,41,48,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
8,35-44,Male,E2,UK,White,24,52,40,41,52,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
9,35-44,Female,E6,Canada,White,42,55,39,48,49,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
10,55-64,Male,E8,UK,White,33,40,36,47,43,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
11,25-34,Female,E7,UK,White,26,45,38,38,53,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
12,45-54,Male,E5,Other,White,24,40,47,30,38,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1
13,55-64,Female,E7,UK,White,56,41,49,32,36,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1
14,55-64,Female,E6,Canada,White,28,45,46,49,59,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,55-64,Female,E6,UK,White,27,49,49,39,52,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
16,55-64,Male,E7,UK,White,19,29,35,36,49,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
17,35-44,Female,E5,UK,White,22,34,34,45,47,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
18,45-54,Male,E2,UK,White,41,31,44,40,31,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
19,55-64,Male,E7,Australia,White,49,39,45,30,30,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
20,35-44,Male,E6,UK,White,32,27,29,30,47,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
21,45-54,Male,E6,UK,White,28,45,51,53,33,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
